filepath,L,T,label,split
train/spin_config_L10_T10000_0.png,10,1.0,0,train
train/spin_config_L10_T10030_0.png,10,1.003,0,train
train/spin_config_L10_T10060_0.png,10,1.006,0,train
train/spin_config_L10_T10090_0.png,10,1.009,0,train
train/spin_config_L10_T10120_0.png,10,1.012,0,train
train/spin_config_L10_T10150_0.png,10,1.015,0,train
train/spin_config_L10_T10180_0.png,10,1.018,0,train
train/spin_config_L10_T10210_0.png,10,1.021,0,train
train/spin_config_L10_T10240_0.png,10,1.024,0,train
train/spin_config_L10_T10270_0.png,10,1.027,0,train
train/spin_config_L10_T10300_0.png,10,1.03,0,train
train/spin_config_L10_T10303_0.png,10,1.0303,0,train
train/spin_config_L10_T10330_0.png,10,1.033,0,train
train/spin_config_L10_T10360_0.png,10,1.036,0,train
train/spin_config_L10_T10390_0.png,10,1.039,0,train
train/spin_config_L10_T10420_0.png,10,1.042,0,train
train/spin_config_L10_T10450_0.png,10,1.045,0,train
train/spin_config_L10_T10480_0.png,10,1.048,0,train
train/spin_config_L10_T10508_0.png,10,1.0508,0,train
train/spin_config_L10_T10511_0.png,10,1.0511,0,train
train/spin_config_L10_T10541_0.png,10,1.0541,0,train
train/spin_config_L10_T10571_0.png,10,1.0571,0,train
train/spin_config_L10_T10601_0.png,10,1.0601,0,train
train/spin_config_L10_T10606_0.png,10,1.0606,0,train
train/spin_config_L10_T10631_0.png,10,1.0631,0,train
train/spin_config_L10_T10661_0.png,10,1.0661,0,train
train/spin_config_L10_T10691_0.png,10,1.0691,0,train
train/spin_config_L10_T10721_0.png,10,1.0721,0,train
train/spin_config_L10_T10751_0.png,10,1.0751,0,train
train/spin_config_L10_T10769_0.png,10,1.0769,0,train
train/spin_config_L10_T10781_0.png,10,1.0781,0,train
train/spin_config_L10_T10811_0.png,10,1.0811,0,train
train/spin_config_L10_T10841_0.png,10,1.0841,0,train
train/spin_config_L10_T10871_0.png,10,1.0871,0,train
train/spin_config_L10_T10901_0.png,10,1.0901,0,train
train/spin_config_L10_T10909_0.png,10,1.0909,0,train
train/spin_config_L10_T10931_0.png,10,1.0931,0,train
train/spin_config_L10_T10961_0.png,10,1.0961,0,train
train/spin_config_L10_T10991_0.png,10,1.0991,0,train
train/spin_config_L10_T11017_0.png,10,1.1017,0,train
train/spin_config_L10_T11021_0.png,10,1.1021,0,train
train/spin_config_L10_T11051_0.png,10,1.1051,0,train
train/spin_config_L10_T11081_0.png,10,1.1081,0,train
train/spin_config_L10_T11111_0.png,10,1.1111,0,train
train/spin_config_L10_T11141_0.png,10,1.1141,0,train
